,id,price,addressStreet,addressCity,addressZipcode,beds,baths,area,zestimate,latitude,longitude
159,16314478,1500000.0,669 Highland Dr,Ojai,93023,2,2.0,1392,1464400.0,34.420963,-119.287964
160,20045800,1195000.0,3294 Bennett Dr,Los Angeles,90068,3,2.0,1476,1197600.0,34.125015,-118.35072
161,48188589,730000.0,974 Helix Ave,Chula Vista,91911,4,2.0,1314,736200.0,32.623417,-117.05394
162,20578835,1475998.0,3701 Grayburn Ave,Los Angeles,90018,3,4.0,1755,1457400.0,34.01981,-118.332214
163,20801226,1750000.0,8579 Skyline Dr,Los Angeles,90046,3,2.0,2100,1720600.0,34.11641,-118.38635
164,19389667,7850000.0,55700 Highway 1,Big Sur,93920,4,4.0,3300,9540400.0,36.114506,-121.63098
165,16649146,1495000.0,1860 Valencia Ave,Carlsbad,92008,4,2.0,1704,1472100.0,33.14543,-117.315865
166,21629384,419990.0,1020 W Calle Del Sol APT 3,Azusa,91702,2,1.0,836,426500.0,34.144184,-117.92327
167,17323352,560000.0,13995 Ranchero Dr,Fontana,92337,3,2.0,958,569500.0,34.040337,-117.50043
168,16850262,1350000.0,6653 Neptune Pl,La Jolla,92037,3,5.0,3124,1341800.0,32.82782,-117.279625
169,51576933,1333333.0,22022 Bryant St,Canoga Park,91304,4,2.0,2237,,34.2265,-118.60681
170,63110939,459000.0,12016 Cedar Bluff Ave,Bakersfield,93312,3,2.0,2041,459400.0,35.422306,-119.136024
171,17859811,635000.0,2885 Bordeaux Dr,Riverside,92503,3,2.0,1394,638200.0,33.909523,-117.43307
172,19931039,649950.0,6510 Gazette Ave,Winnetka,91306,3,2.0,1380,692200.0,34.208336,-118.57107
173,16332648,1200000.0,2580 Pierpont Blvd,Ventura,93001,2,3.0,1206,1183800.0,34.259815,-119.26972
174,82017521,538900.0,400 N Avenida Caballeros UNIT 10,Palm Springs,92262,1,1.0,954,523700.0,33.82797,-116.53631
175,18897214,349999.0,3809 Edith Ln,Bakersfield,93304,4,2.0,1202,249700.0,35.320816,-119.0093
176,72176653,325000.0,1604 Sueno Ct,Bakersfield,93306,4,2.0,1529,325300.0,35.37287,-118.904854
177,16457730,999900.0,1775 N Lee St,Simi Valley,93065,5,4.0,2695,992300.0,34.269592,-118.75106
178,17323195,595000.0,11557 Oakwood Dr,Fontana,92337,3,3.0,1564,607200.0,34.04338,-117.50049
179,20418945,3875000.0,2501 N Poinsettia Ave,Manhattan Beach,90266,4,5.0,3208,3837000.0,33.89472,-118.40067
180,21458872,1308000.0,1314 Ameluxen Ave,Hacienda Heights,91745,5,3.0,2223,1296200.0,34.017105,-117.992805
181,17794597,699900.0,3585 Dixie Ln,Riverside,92503,6,3.0,2421,702400.0,33.883972,-117.502205
182,16030833,625000.0,1921 Sherwood Ave,Modesto,95350,3,3.0,1906,624000.0,37.672466,-120.99893
183,15846741,748000.0,1705 Clairmont Court,Petaluma,94954,3,2.0,1489,728200.0,38.2541,-122.619865
184,21260461,789000.0,18223 Milmore Ave,Carson,90746,3,2.0,1679,794900.0,33.86473,-118.27508
185,61195283,320000.0,601 Ginger Snap Ln,Bakersfield,93307,3,2.0,1134,319600.0,35.28513,-119.00853
186,54972405,2748000.0,8 Upland,Irvine,92602,4,3.0,2700,,33.732075,-117.76132
187,147888039,1910000.0,77 Coleridge,Irvine,92620,4,4.0,2141,1875900.0,33.704296,-117.736115
188,21506943,750000.0,1862 Bonnie Brae St,Pomona,91767,3,2.0,1400,752500.0,34.07532,-117.71787
189,20989248,700000.0,401 E Darlan St,Gardena,90248,3,2.0,1441,701400.0,33.89036,-118.26999
190,95912472,499000.0,3083 Avalon Pkwy,Perris,92571,3,2.0,1230,503900.0,33.829556,-117.18663
191,20906463,3350000.0,4544 Daleridge Rd,La Canada Flintridge,91011,4,5.0,3252,3269600.0,34.197704,-118.1818
192,58749323,725000.0,44388 Kingston Dr,Temecula,92592,3,2.0,2139,724000.0,33.481316,-117.07035
193,17623424,389000.0,845 Sunset Ln,Sugarloaf,92386,2,1.0,960,375200.0,34.23683,-116.830215
194,26025619,1100000.0,6515 Mi Ct,Citrus Heights,95621,5,5.0,4219,1073600.0,38.684273,-121.32134
195,63195374,1199000.0,526 Cliffrose Ln,Buellton,93427,5,3.0,3061,1173200.0,34.622185,-120.20449
196,299065396,789000.0,526 62nd St,Oakland,94609,3,2.0,1446,,37.84798,-122.261955
197,16691376,720000.0,1085 N Grape St N,Escondido,92026,3,2.0,1150,677700.0,33.137222,-117.08126
198,24807634,349000.0,2570 99th Ave,Oakland,94605,2,2.0,1020,,37.74793,-122.15438
199,20508044,2098000.0,10370 Ashton Ave,Los Angeles,90024,4,4.0,3064,2096300.0,34.066017,-118.427284
200,456946500,2290000.0,935 Bay Tree La Canada,La Canada Flintridge,91011,3,2.0,2209,2305100.0,34.22313,-118.19434
201,82880610,1200000.0,702 S Serrano Ave APT 701,Los Angeles,90005,3,3.0,1520,1185200.0,34.05942,-118.306206
202,19000346,390000.0,3812 Curry Ct,Bakersfield,93309,3,2.0,1040,387900.0,35.319122,-119.0675
203,20193593,1129000.0,23664 Clearidge Dr,Santa Clarita,91354,5,3.0,3241,1123900.0,34.446743,-118.549614
204,25401280,1169000.0,25511 Palermo Way,Yorba Linda,92887,4,3.0,2021,1175300.0,33.875774,-117.70783
205,21508780,679888.0,1635 S San Antonio Ave,Pomona,91766,4,2.0,1464,693300.0,34.042263,-117.7368
206,25388164,800000.0,18511 Orangethorpe Ave,Anaheim,92807,3,2.0,1366,821300.0,33.865646,-117.809746
207,17548995,699990.0,13555 Magnolia Ave,Chino,91710,3,3.0,1635,702700.0,34.007294,-117.6715
208,25105288,799999.0,963 Glencliff St,La Habra,90631,3,3.0,1521,796400.0,33.920654,-117.96693
209,457041437,399950.0,7081 W Cattern Ave,Fresno,93722,4,3.0,1460,,36.838753,-119.91998
210,17528988,489888.0,842 Carlton Privado,Ontario,91762,2,3.0,1129,492300.0,34.05477,-117.66682
211,16437961,779000.0,618 Kirkside Pl,Simi Valley,93065,3,3.0,1493,774200.0,34.229107,-118.80337
212,16450711,475000.0,1736 Sinaloa Rd APT 314,Simi Valley,93065,2,2.0,1074,473600.0,34.26959,-118.78439
213,25169676,599000.0,10852 Stanford Ave,Garden Grove,92840,2,1.0,800,779400.0,33.777515,-117.943275
214,21641702,798000.0,244 E Newburgh St,Glendora,91740,4,2.0,1362,,34.10932,-117.85958
215,20701684,3389000.0,2110 Homet Rd,San Marino,91108,4,3.0,2590,2948200.0,34.136585,-118.10805
